bed,bath,acre_lot,city,house_size,price
3.0,2.0,0.39,Rocky Hill,1834.0,344900.0
4.0,2.0,0.2,Dedham,2336.0,700000.0
4.0,1.0,0.32,Tilton,1677.0,149900.0
3.0,1.0,0.29,East Hartford,960.0,219000.0
4.0,2.0,0.11,Providence,2646.0,379900.0
4.0,2.0,0.13,West Haven,1368.0,290000.0
3.0,2.0,2.7,Bethlehem,2134.0,475000.0
3.0,2.0,0.18,Warwick,872.0,315000.0
3.0,3.0,0.46,New Milford,1766.0,489900.0
4.0,4.0,1.16,Westport,2114.0,1399000.0
5.0,4.0,0.54,Barrington,3500.0,1349000.0
4.0,4.0,1.08,Prospect,4023.0,689900.0
3.0,1.0,0.34,Waterbury,985.0,155000.0
4.0,4.0,2.73,Bridgewater,2924.0,525000.0
2.0,2.0,8.7,Readsboro,1252.0,239000.0
3.0,3.0,1.51,Bloomfield,2438.0,370000.0
3.0,2.0,0.43,Thompson,1080.0,299900.0
4.0,4.0,0.5,Litchfield,4021.0,995000.0
8.0,11.0,4.02,New Canaan,11923.0,10600000.0
4.0,2.0,0.1,Rockingham,1800.0,140000.0
5.0,4.0,2.0,Ridgefield,5470.0,1349000.0
4.0,2.0,0.18,Manchester,2019.0,469900.0
3.0,2.0,4.02,Burrillville,1824.0,349000.0
4.0,3.0,0.19,Bridgeport,3099.0,350000.0
5.0,6.0,4.0,Greenwich,5221.0,6995000.0
5.0,10.0,2.45,Greenwich,9367.0,5750000.0
4.0,2.0,85.8,Alstead,5437.0,750000.0
4.0,4.0,0.92,Hingham,3700.0,2199000.0
4.0,3.0,1.2,South Windsor,2553.0,449900.0
3.0,2.0,0.31,West Hartford,1152.0,249900.0
3.0,2.0,0.48,Brewster,1687.0,639900.0
2.0,2.0,0.2,Wolcott,666.0,199000.0
3.0,2.0,1.26,Coventry,1309.0,329000.0
3.0,2.0,0.29,West Haven,1582.0,100700.0
2.0,1.0,0.16,Southington,800.0,157900.0
3.0,2.0,10.0,Enfield,2068.0,485000.0
3.0,3.0,0.35,Glastonbury,1370.0,397900.0
5.0,4.0,2.06,Suffield,3323.0,539000.0
2.0,3.0,2.0,Northport,4300.0,524900.0
3.0,2.0,0.14,Medford,1222.0,699000.0
5.0,4.0,8.12,Winchester,3075.0,1175000.0
3.0,1.0,0.13,Woonsocket,1056.0,319000.0
4.0,5.0,1.34,Norwalk,2981.0,1189000.0
4.0,3.0,0.73,Glocester,4491.0,589900.0
5.0,5.0,0.25,Stamford,3200.0,1575000.0
2.0,3.0,0.55,East Falmouth,1588.0,589900.0
4.0,2.0,0.06,Ansonia,1302.0,209000.0
6.0,2.0,0.12,Keene,1962.0,310000.0
3.0,3.0,0.05,Boston,2040.0,1695000.0
5.0,2.0,0.12,Greenwich,2144.0,700000.0
7.0,5.0,5.58,New Fairfield,3252.0,899000.0
3.0,3.0,0.3,Meriden,1276.0,265000.0
3.0,2.0,0.17,Hamden,1800.0,350000.0
4.0,3.0,0.39,Barrington,2830.0,999000.0
4.0,3.0,0.5,Wilton,1776.0,470000.0
4.0,2.0,0.17,Hamden,1762.0,259900.0
3.0,3.0,0.55,Conway,2533.0,525000.0
3.0,2.0,0.38,East Hartford,1596.0,279500.0
3.0,3.0,1.1,Orleans,2184.0,200000.0
5.0,6.0,3.1,Weston,6460.0,2995000.0
4.0,3.0,25.47,Canterbury,2665.0,749900.0
4.0,1.0,0.21,Bristol,1584.0,245000.0
3.0,2.0,0.52,East Haven,1368.0,329000.0
3.0,2.0,0.23,West Warwick,1459.0,359000.0
5.0,4.0,0.11,Groton,3142.0,1749000.0
3.0,1.0,0.09,East Providence,1248.0,350000.0
3.0,2.0,0.23,Winchester,1346.0,225000.0
4.0,2.0,1.3,Sprague,2260.0,179900.0
3.0,3.0,0.27,Hamden,2661.0,699000.0
3.0,1.0,0.49,Windham,3547.0,180000.0
3.0,2.0,0.11,North Providence,1215.0,329900.0
